 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1024.0 1024.0  0.0    0.0    8192.0   5350.7   82848.0    48892.9   20224.0 19533.3 2816.0 2633.5     81    0.293  272    21.088   21.381
1024.0 1024.0  0.0    0.0    8192.0   553.6    82848.0    49232.4   20224.0 19533.3 2816.0 2633.5     81    0.293  273    21.206   21.500
1024.0 1024.0  0.0    0.0    8192.0   2453.0   82848.0    49232.4   20224.0 19533.3 2816.0 2633.5     81    0.293  273    21.206   21.500
1024.0 1024.0  0.0    0.0    8192.0   3399.6   82848.0    49232.4   20224.0 19533.3 2816.0 2633.5     81    0.293  273    21.206   21.500
1024.0 1024.0  0.0    0.0    8192.0   4821.7   82848.0    49232.4   20224.0 19533.3 2816.0 2633.5     81    0.293  273    21.206   21.500
1024.0 1024.0  0.0    0.0    8192.0   2549.5   82848.0    49422.6   20224.0 19533.3 2816.0 2633.5     81    0.293  274    21.326   21.620
1024.0 1024.0  0.0    0.0    8192.0   398.8    83416.0    50047.4   20224.0 19533.3 2816.0 2633.5     81    0.293  275    21.473   21.766
1024.0 1024.0  0.0    0.0    8192.0   1879.8   83416.0    50047.4   20224.0 19533.3 2816.0 2633.5     81    0.293  275    21.473   21.766
1024.0 1024.0  0.0    0.0    8192.0   4097.5   83416.0    50047.4   20224.0 19533.3 2816.0 2633.5     81    0.293  275    21.473   21.766
1024.0 1024.0  0.0    0.0    8192.0   257.9    83416.0    50127.3   20224.0 19533.3 2816.0 2633.5     81    0.293  276    21.597   21.891
1024.0 1024.0 857.9   0.0    8192.0   3694.7   83416.0    50127.3   20224.0 19540.6 2816.0 2633.5     82    0.296  276    21.597   21.894
1024.0 1024.0  0.0    0.0    8192.0   619.9    87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     82    0.296  277    21.702   21.998
1024.0 1024.0  0.0    0.0    8192.0   1777.0   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     82    0.296  277    21.702   21.998
1024.0 1024.0  0.0    0.0    8192.0   4102.9   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     82    0.296  277    21.702   21.998
1024.0 1024.0  0.0    0.0    8192.0   7048.7   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     82    0.296  277    21.702   21.998
1024.0 1024.0  0.0   335.2   8192.0   1227.0   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     83    0.300  277    21.702   22.002
1024.0 1024.0  0.0   335.2   8192.0   3959.5   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     83    0.300  277    21.702   22.002
1024.0 1024.0  0.0   335.2   8192.0   5912.5   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     83    0.300  277    21.702   22.002
1024.0 1024.0  0.0   335.2   8192.0   7185.7   87596.0    52556.0   20224.0 19540.7 2816.0 2633.5     83    0.300  277    21.702   22.002
1024.0 1024.0  0.0    0.0    8192.0   1232.2   88440.0    53062.5   20224.0 19540.7 2816.0 2633.5     83    0.300  278    21.849   22.149
1024.0 1024.0  0.0    0.0    8192.0   1469.5   88440.0    53053.2   20224.0 19540.7 2816.0 2633.5     83    0.300  279    22.020   22.320
1024.0 1024.0  0.0    0.0    8192.0   282.5    88440.0    48801.4   20224.0 19540.7 2816.0 2633.5     83    0.300  281    22.282   22.582
1024.0 1024.0  0.0    0.0    8192.0   2187.3   88440.0    48801.4   20224.0 19540.7 2816.0 2633.5     83    0.300  281    22.282   22.582
1024.0 1024.0  0.0    0.0    8192.0   3720.8   88440.0    48801.4   20224.0 19540.7 2816.0 2633.5     83    0.300  281    22.282   22.582
1024.0 1024.0  0.0    0.0    8192.0   1843.6   88440.0    48856.1   20224.0 19540.7 2816.0 2633.5     83    0.300  282    22.405   22.705
1024.0 1024.0  0.0    0.0    8192.0   1135.6   88440.0    49636.0   20224.0 19540.7 2816.0 2633.5     83    0.300  283    22.520   22.820
1024.0 1024.0  0.0    0.0    8192.0   2603.5   88440.0    49636.0   20224.0 19540.7 2816.0 2633.5     83    0.300  283    22.520   22.820
1024.0 1024.0  0.0    0.0    8192.0   7264.5   88440.0    49636.0   20224.0 19540.7 2816.0 2633.5     83    0.300  283    22.520   22.820
1024.0 1024.0 1019.3  0.0    8192.0   2033.6   88440.0    49636.0   23168.0 22583.1 3200.0 3033.0     84    0.306  283    22.520   22.826
1024.0 1024.0 1019.3  0.0    8192.0   3513.5   88440.0    49636.0   23168.0 22583.1 3200.0 3033.0     84    0.306  283    22.520   22.826
1024.0 1024.0  0.0    0.0    8192.0   801.5    88440.0    50042.9   23424.0 22749.2 3200.0 3050.7     84    0.306  284    22.672   22.978
1024.0 1024.0  0.0    0.0    8192.0   3602.7   88440.0    50042.9   23424.0 22749.2 3200.0 3050.7     84    0.306  284    22.672   22.978
1024.0 1024.0  0.0    0.0    8192.0   5185.3   88440.0    50042.9   23424.0 22749.2 3200.0 3050.7     84    0.306  284    22.672   22.978
1024.0 1024.0  0.0    0.0    8192.0   1974.6   88440.0    50252.6   23424.0 22768.2 3200.0 3051.2     84    0.306  286    22.801   23.107
1024.0 1024.0  0.0    0.0    8192.0   2233.7   88440.0    50855.8   23424.0 22773.0 3200.0 3051.8     84    0.306  286    23.110   23.416
1024.0 1024.0  0.0    0.0    8192.0   3448.5   88440.0    50855.8   23424.0 22773.0 3200.0 3051.8     84    0.306  286    23.110   23.416
1024.0 1024.0  0.0    0.0    8192.0   5090.8   88440.0    50855.8   23424.0 22773.0 3200.0 3051.8     84    0.306  286    23.110   23.416
1024.0 1024.0  0.0    0.0    8192.0   6983.6   88440.0    50855.8   23424.0 22773.0 3200.0 3051.8     84    0.306  286    23.110   23.416
1024.0 1024.0  0.0   432.9   8192.0   428.3    88440.0    50855.8   23424.0 22824.4 3200.0 3052.4     85    0.309  286    23.110   23.420
1024.0 1024.0  0.0    0.0    8192.0   1050.6   88440.0    51284.6   23424.0 22824.4 3200.0 3052.4     85    0.309  287    23.241   23.551
1024.0 1024.0  0.0    0.0    8192.0   3145.0   88440.0    51284.6   23424.0 22824.4 3200.0 3052.4     85    0.309  287    23.241   23.551
1024.0 1024.0  0.0    0.0    8192.0   5585.2   88440.0    51284.6   23424.0 22824.4 3200.0 3052.4     85    0.309  287    23.241   23.551
1024.0 1024.0  0.0    0.0    8192.0   1020.7   88440.0    51310.5   23424.0 22862.2 3200.0 3055.7     85    0.309  288    23.378   23.688
1024.0 1024.0  0.0    0.0    8192.0   747.2    88440.0    51928.7   23424.0 22862.2 3200.0 3055.7     85    0.309  289    23.536   23.846
1024.0 1024.0  0.0    0.0    8192.0   2588.9   88440.0    51928.7   23424.0 22862.2 3200.0 3055.7     85    0.309  289    23.536   23.846
1024.0 1024.0  0.0    0.0    8192.0   4088.4   88440.0    51928.7   23424.0 22862.2 3200.0 3055.7     85    0.309  289    23.536   23.846
1024.0 1024.0  0.0    0.0    8192.0   5473.6   88440.0    51928.7   23424.0 22862.2 3200.0 3055.7     85    0.309  289    23.536   23.846
1024.0 1024.0  0.0    0.0    8192.0   7228.7   88440.0    51928.7   23424.0 22862.2 3200.0 3055.7     85    0.309  289    23.536   23.846
1024.0 1024.0 362.3   0.0    8192.0   332.4    88440.0    51928.7   23424.0 22907.4 3200.0 3057.4     86    0.312  289    23.536   23.848
